" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"05229 SANTO DOMINGO DE LAS POSADAS",          52,        1033,        1000,        1000,           .,        1025,         245,          52,           4,          21,  250219.369,
,"05230 SANTO TOME DE ZABARCOS",          34,         810,         758,         752,           6,         806,         487,          39,           4,          36,  303463.032,
,"05231 SAN VICENTE DE AREVALO",          70,        1347,         864,         608,         256,         884,         182,          89,           1,          56,  419446.348,
,"05232 SERRADA (LA)",          53,         752,         465,         449,          16,         719,         457,          63,           5,          28,   216484.56,
,"05233 SERRANILLOS",         207,        2183,          30,           2,          28,         357,         663,         288,           4,          21,  281730.434,
,"05234 SIGERES",          35,         924,         769,         767,           2,         791,         509,          49,           2,          43,  294880.579,
,"05235 SINLABAJOS",          74,        1381,        1271,        1135,         136,        1378,         321,         101,           2,          60,  435631.604,
,"05236 SOLANA DE AVILA",         104,        6633,          23,           3,          20,        6249,         540,         122,           8,          14,  970442.225,
,"05237 SOLANA DE RIOALMAR",         133,        3685,        1669,        1661,           8,        3526,         554,         131,           2,          38,  673253.759,
,"05238 SOLOSANCHO",         550,        5099,         969,         967,           3,        4754,        1536,         553,           9,          92,  717121.633,
,"05239 SOTALBO",          77,        7652,         622,         622,           1,        7500,         463,          70,           8,          35,   373889.63,
,"05240 SOTILLO DE LA ADRADA",         463,        3235,         542,         494,          48,        1772,         433,         520,           8,          13,  334920.005,
,"05241 TIEMBLO (EL)",         632,        6386,         449,         386,          63,        2571,         757,         778,          12,          37,  535850.372,
,"05242 TIÑOSILLOS",          72,        3046,         410,         349,          61,         414,         270,          79,           3,          22,  169184.907,
,"05243 TOLBAÑOS",         112,        4387,        1536,        1534,           2,        3670,         947,         141,           6,          14,  592664.046,
,"05244 TORMELLAS",          85,         939,          83,          19,          64,         475,         399,         103,           1,          30,  202931.737,
,"05245 TORNADIZOS DE AVILA",         118,        8147,          15,          15,           1,        8146,        2034,         127,          18,          34,  798065.943,
,"05246 TORTOLES",         118,        2292,          35,          26,          10,        1990,         560,         118,           3,          16,   248254.06,
,"05247 TORRE (LA)",         232,        5169,        1268,        1209,          60,        3467,        1784,         301,          12,          69,  926598.392,
,"05249 UMBRIAS",          71,        1133,          18,           .,          18,         965,         544,         103,           3,          24,  256980.756,
,"05251 VADILLO DE LA SIERRA",         301,        4595,           .,           .,           .,        4595,        1025,         316,           1,          16,  402293.462,
,"05252 VALDECASA",          92,        2909,         158,         149,           9,        2134,         907,          90,           3,           9,  380494.753,
,"05253 VEGA DE SANTA MARIA",          58,        1706,        1453,        1449,           4,        1640,         258,          77,           7,          33,  376233.577,
,"05254 VELAYOS",          71,        2058,        1929,        1869,          60,        2003,         253,          73,           7,          47,  544480.906,
,"05256 VILLAFLOR",          81,        1431,        1040,        1019,          21,        1153,         558,          92,           2,          38,  370475.881,
,"05257 VILLAFRANCA DE LA SIERRA",          97,        3461,          50,           3,          47,        1179,         668,         116,           4,          42,  367759.307,
,"05258 VILLANUEVA DE GOMEZ",          41,        2127,        1299,        1293,           5,        1299,          81,          42,           2,          29,  206207.253,
,"05259 VILLANUEVA DEL ACERAL",          38,        1534,        1508,        1467,          41,        1529,         400,          54,           4,          53,  452075.295,
,"05260 VILLANUEVA DEL CAMPILLO",         382,        4675,           .,           .,           .,        3219,         629,         393,           1,           5,  528067.265,
,"05261 VILLAR DE CORNEJA",          57,         534,          40,          39,           1,         534,         245,          68,           1,           3,  105225.199,
,"05262 VILLAREJO DEL VALLE",         211,        4189,         203,         185,          18,        1718,         292,         365,           8,          90,   167802.58,
,"05263 VILLATORO",         220,        6673,          19,          15,           4,        6673,         709,         237,           3,          33,  330821.103,
,"05264 VIÑEGRA DE MORAÑA",          42,         834,         781,         779,           2,         827,         248,          48,           2,          41,  225103.074,
,"05265 VITA",          41,        1108,         884,         882,           3,        1087,         733,          50,           2,          45,  387190.028,
,"05266 ZAPARDIEL DE LA CAÑADA",         131,        3581,         173,         173,           .,        3381,        1658,         158,          28,          41,   656419.41,
,"05267 ZAPARDIEL DE LA RIBERA",          79,        4322,          15,           .,          15,        3186,         720,          90,           6,          14,  373252.557,
,"05901 SAN JUAN DE GREDOS",         172,        9720,          38,           5,          33,        9006,        1872,         230,           5,          48, 1584598.464,
,"05902 SANTA MARIA DEL CUBILLO",         127,        4779,        1451,        1449,           2,        4409,        1302,         171,           8,          96,  755682.569,
,"05903 DIEGO DEL CARPIO",         367,        2973,         221,         221,           .,        2963,         941,         411,           2,          55,  434105.033,
,"05904 SANTIAGO DEL TORMES",         171,        6691,          44,           3,          42,        5188,         599,         187,           9,          21,  852000.769,
,"09001 ABAJAS",          25,        2896,         596,         591,           4,        1796,          55,          30,           1,          16,  177833.472,
,"09003 ADRADA DE HAZA",          43,        1465,        1132,        1026,         106,        1137,          66,          65,           1,          37,  292801.077,
,"09006 AGUAS CANDIDAS",         124,        1828,         174,         118,          56,         196,         389,         197,           3,          65,  132132.511,
,"09007 AGUILAR DE BUREBA",          30,        1023,         927,         917,          10,         947,         161,          48,           1,          42,  255255.851,
,"09009 ALBILLOS",          54,         891,         800,         738,          63,         804,         289,          65,          15,          52,  364327.528,
,"09010 ALCOCERO DE MOLA",          16,         820,         415,         414,           .,         565,          45,          16,           2,          13,  110646.328,
,"09011 ALFOZ DE BRICIA",         121,        5480,         106,         105,           1,        3889,         355,         137,          16,          64,  234316.589,
,"09012 ALFOZ DE SANTA GADEA",          55,        4067,          20,          20,           .,         969,         455,          80,           5,          83,  188844.013,
,"09013 ALTABLE",          19,         746,         746,         746,           .,         746,          19,          35,           .,          24,  196074.189,
,"09014 ALTOS (LOS)",         112,       18990,        3585,        3561,          24,        8167,         807,         125,          19,         102, 1130022.959,
,"09016 AMEYUGO",          18,        1217,         501,         495,           6,         505,         123,          25,           4,          18,  158847.499,
,"09017 ANGUIX",          83,        1108,        1051,        1049,           2,        1052,          47,          98,           3,          52,  233835.779,
,"09018 ARANDA DE DUERO",         682,        9252,        5053,        3702,        1352,        5053,       17369,         959,         211,         265, 4718876.588,
,"09019 ARANDILLA",          50,        2786,        1895,        1792,         103,        1899,         235,          51,           9,          63,  470129.698,
,"09020 ARAUZO DE MIEL",          47,        5342,        1002,         998,           5,        1292,         426,          49,           1,          37,  283785.895,
,"09021 ARAUZO DE SALCE",          20,        1069,         590,         572,          18,         590,          86,          26,           4,          23,  116854.783,
,"09022 ARAUZO DE TORRE",          25,        1018,         717,         708,           9,         718,          82,          31,           1,          30,  154345.919,
